x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
-0.437981859,-0.371816922,1.035102171,0.57251223,0.236930822,-1.384305647,-1.655644718,-1.034024191,0.122677849,-0.102323609,-0.150572931
1.366459262,0.32878564,-0.289857079,-0.635220483,-0.50365796,-2.125185106,-0.543557181,0.506830075,1.057447049,1.219048317,4.577355645
-0.872652253,1.586772389,1.864812072,0.548158797,0.365288356,-0.372673179,-0.554735312,-0.310192068,2.371561218,0.680499463,-0.261728246
0.089327034,-1.45092538,-0.190637322,-0.348678953,0.447712813,-0.247589903,-0.421637095,0.461863207,0.657004049,1.291557573,1.026075253
0.247655366,1.0281037,-1.649690499,-0.022030261,-1.591780366,-0.164436604,-0.168250058,-0.0650506,0.466845567,0.27174131,3.597572812
0.406992739,-1.205782939,-0.155281551,-0.228779061,1.572007397,-0.887981133,-1.402689529,-1.267919011,0.411339659,-0.562549431,-0.348084336
0.648066361,-1.881348498,-0.021126296,3.020602642,-0.571757491,0.113068966,0.65889645,0.150666292,0.006185529,0.31554808,1.777208521
-0.164479855,0.862010812,-0.643251332,0.320224559,0.805724357,-1.966135367,0.024373707,-0.358005407,-1.105921967,-1.640254305,-0.770318234
0.811514609,-0.269083127,-0.853864984,0.592159878,-0.44562098,1.633166497,0.205640965,0.387165657,0.748450552,-0.761567722,1.579614262
0.40834939,-0.488359268,0.058655603,1.032603019,0.827944092,1.190161611,0.451614881,0.427933907,-0.66780243,0.333100723,-2.116804059
-1.290088577,0.038961129,0.22823455,0.10168596,-0.067296316,-0.637277541,-0.295017163,-0.450570568,-2.405162385,2.328489417,-3.307713946
0.963710319,1.841056248,1.251256329,-1.603234809,0.340050412,-0.233889604,1.726259215,0.48520049,-1.555081798,0.872393028,-1.976776285
0.652553293,0.533143972,-1.787608635,-1.169125449,-0.525401817,0.25744056,-0.629267009,0.162554262,-0.985946038,-1.245303409,1.125677917
-0.410839907,-1.257022734,-0.017595316,1.313879553,-0.521560317,2.934457584,-0.520629986,0.063651312,-1.14194673,-0.251533786,-2.744259264
-1.769615783,-1.289049957,1.572451014,-1.764422876,0.354585349,-0.484731182,-0.487434992,-0.158961673,0.467394716,0.952607984,-2.056244416
